plant_id,similar_plants
11,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
12,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
13,"[{'plant_id': 1, 'common_name': 'European Silver Fir', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1456, 'common_name': 'pride of barbados', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 351, 'common_name': 'Akane Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1307, 'common_name': 'red silk cottontree', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 353, 'common_name': 'Belle de Boskoop Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
14,"[{'plant_id': 83, 'common_name': 'Nuresagi Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 363, 'common_name': 'Golden Delicious Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 244, 'common_name': 'Variegated Giant Dogwood', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 370, 'common_name': 'Liberty Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1843, 'common_name': 'glory of the snow', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
15,"[{'plant_id': 83, 'common_name': 'Nuresagi Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 363, 'common_name': 'Golden Delicious Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 244, 'common_name': 'Variegated Giant Dogwood', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 370, 'common_name': 'Liberty Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1843, 'common_name': 'glory of the snow', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
16,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
17,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
18,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
19,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
20,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
21,"[{'plant_id': 5, 'common_name': 'Fraser Fir', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 333, 'common_name': 'Marilyn Magnolia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 212, 'common_name': 'Red Fox Katsura Tree', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 2262, 'common_name': 'bat-faced cuphea', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 708, 'common_name': 'alder', 'cycle': 'Perennial', 'watering': 'Average'}]"
22,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
23,"[{'plant_id': 652, 'common_name': 'rain tree', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 2926, 'common_name': 'European beech', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 344, 'common_name': 'Kobus Magnolia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1972, 'common_name': 'glory-bower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 629, 'common_name': 'creeping bent grass', 'cycle': 'Perennial', 'watering': 'Average'}]"
24,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
25,"[{'plant_id': 652, 'common_name': 'rain tree', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 2926, 'common_name': 'European beech', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 344, 'common_name': 'Kobus Magnolia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1972, 'common_name': 'glory-bower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 629, 'common_name': 'creeping bent grass', 'cycle': 'Perennial', 'watering': 'Average'}]"
26,"[{'plant_id': 452, 'common_name': 'snakebark maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1896, 'common_name': 'navel orange', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 73, 'common_name': 'Kiri Nishiki Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 662, 'common_name': 'bush allamanda', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1455, 'common_name': 'poinciana', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
27,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
28,"[{'plant_id': 117, 'common_name': 'Seiryu Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 793, 'common_name': 'variegated pineapple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 2965, 'common_name': 'climbing fig', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 2019, 'common_name': 'taro', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 345, 'common_name': ""Wada's Memory Magnolia"", 'cycle': 'Perennial', 'watering': 'Frequent'}]"
29,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
30,"[{'plant_id': 83, 'common_name': 'Nuresagi Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 363, 'common_name': 'Golden Delicious Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 244, 'common_name': 'Variegated Giant Dogwood', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 370, 'common_name': 'Liberty Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1843, 'common_name': 'glory of the snow', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
31,"[{'plant_id': 83, 'common_name': 'Nuresagi Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 363, 'common_name': 'Golden Delicious Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 244, 'common_name': 'Variegated Giant Dogwood', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 370, 'common_name': 'Liberty Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1843, 'common_name': 'glory of the snow', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
32,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
33,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
34,"[{'plant_id': 2951, 'common_name': 'hard fescue', 'cycle': 'Perennial', 'watering': 'Minimum'}, {'plant_id': 651, 'common_name': 'alangium', 'cycle': 'Perennial', 'watering': 'Minimum'}, {'plant_id': 193, 'common_name': 'California Incense Cedar', 'cycle': 'Perennial', 'watering': 'Minimum'}, {'plant_id': 692, 'common_name': 'ornamental onion', 'cycle': 'Perennial', 'watering': 'Minimum'}, {'plant_id': 1256, 'common_name': 'supple-Jack', 'cycle': 'Perennial', 'watering': 'Minimum'}]"
35,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
36,"[{'plant_id': 2529, 'common_name': 'striped dracaena', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 2891, 'common_name': 'poinsettia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 72, 'common_name': 'Katsura Japanese Maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 78, 'common_name': 'Margaret Bee Japanese Maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 79, 'common_name': 'Mikawa Yatsubusa Japanese Maple', 'cycle': 'Perennial', 'watering': 'Average'}]"
37,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
38,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
39,"[{'plant_id': 83, 'common_name': 'Nuresagi Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 363, 'common_name': 'Golden Delicious Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 244, 'common_name': 'Variegated Giant Dogwood', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 370, 'common_name': 'Liberty Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1843, 'common_name': 'glory of the snow', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
40,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
41,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
42,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
43,"[{'plant_id': 652, 'common_name': 'rain tree', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 2926, 'common_name': 'European beech', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 344, 'common_name': 'Kobus Magnolia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1972, 'common_name': 'glory-bower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 629, 'common_name': 'creeping bent grass', 'cycle': 'Perennial', 'watering': 'Average'}]"
44,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
45,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
46,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
47,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
48,"[{'plant_id': 83, 'common_name': 'Nuresagi Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 363, 'common_name': 'Golden Delicious Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 244, 'common_name': 'Variegated Giant Dogwood', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 370, 'common_name': 'Liberty Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1843, 'common_name': 'glory of the snow', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
49,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
50,"[{'plant_id': 83, 'common_name': 'Nuresagi Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 363, 'common_name': 'Golden Delicious Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 244, 'common_name': 'Variegated Giant Dogwood', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 370, 'common_name': 'Liberty Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1843, 'common_name': 'glory of the snow', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
51,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
52,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
